prng,prow,expt,identity1.x,checks,Test,Location,Year,Loc_Year_test,MM_CA,MM_CEC,MM_K,MM_MG,MM_OM,MM_P1,MM_PH,MM_CLAY,MM_SAND,MM_SILT,Plot,identity1.y,Yield,X,Population,Cl,Clre,Datt1,Datt4,Datt6,DDI,DPI,GNDVI,MCARI,MCARI3,mSR,mSR2,MTCI,MTVI1,ND1,ND2,NDchl,NDRE,NDVI1,NDVI2,NDVI3,NPCL,NPQI,OSAVI,PBI,PPR,PRI,PSNDb1,PSNDc1,PSNDc2,PSRI,PSSRc1,PSSRc2,PVR,PWI,RDVI,RVSI,SAVI,SIPI,SR1,SR2,SR3,SR4,DSWI-4,SRPI,TCARI,TCI,TVI,WBI,Latitude,Longitude
25,89,21-B-316,A17436-116,0,B,Burkey,2021,2021_B_Burkey,1986.95,16.13,162.88,231.41,3.03,12.98,5.66,24.24,38.99,36.78,58,A17436-116,62.73,58,A17436,0.997570275,0.55070779,0.808696648,3.389010873,8.540466811,0.0940882,7.730909689,0.363998144,0.037805574,0.172388715,5.323690803,0.389978065,2.907338126,0.413700816,0.049350352,0.044236565,0.302585464,0.193002064,0.338565538,0.363998144,0.215903912,0.119673332,0.002074761,0.371966245,2.508039281,0.134232827,0.046795386,0.384106265,0.479997306,0.510030578,0.113226123,2.846133924,1.160932107,-0.288403798,0.998128131,0.340803509,0.0075031,0.371966245,0.463674882,0.786235273,0.355234989,0.954690802,0.466277655,0.92715609,0.786235273,0.090086555,0.046464906,14.324206,0.992056247,42.01400087,-93.78766066
73,23,20-A-210,A17435-20,0,A,Burkey,2020,2020_A_Burkey,2968.778,21.222,169.778,417.222,3.644,18.333,6.022,26.967,32.789,39.067,58,A17435-20,76.75,58,A17435,1.000903201,0.106136831,0.839893117,2.17137635,3.604618748,0.031488572,4.412664958,0.132590224,0.044827627,0.028018997,3.582468209,0.085191737,1.370284958,0.243411558,0.032246401,0.050424849,0.198361444,0.084684674,0.101765958,0.132590224,0.050394082,0.048679808,0.022464457,0.179263825,1.583823898,0.061335993,0.03119489,0.16319018,0.225726154,0.24451867,0.100400169,1.583065425,1.111863749,-0.108472862,0.939841497,0.180701058,0.029534828,0.179263825,0.221284194,0.907159826,0.663651557,0.955102272,0.765863732,0.932339922,0.907159826,0.114471984,0.058557092,6.20723496,0.958431433,42.01102886,-93.77919416
18,9,21-B-204,A17107-142,0,B,Burkey,2021,2021_B_Burkey,3070.02,21.12,177.21,397.4,3.94,24.87,5.69,26.86,33.87,39.27,58,A17107-142,75,58,A17107,0.997304851,0.504057956,0.794853494,2.738413455,6.732183932,0.1095222,6.479569828,0.338819226,0.050079436,0.188192074,6.675379141,0.376106133,2.620978551,0.498148692,0.039054964,0.015940308,0.270101171,0.186142095,0.317302129,0.338819226,0.201296442,0.096108391,0.025307934,0.375889908,2.301596612,0.118449849,0.034489229,0.358330809,0.452281369,0.461193407,0.089204266,2.651509893,1.127400311,-0.231438905,0.957865871,0.362412204,0.00497675,0.375889908,0.425863769,0.824637068,0.400208162,0.991561244,0.493853659,0.961135762,0.824637068,0.120798462,0.063462602,17.40842,0.965079218,42.01509724,-93.78817682
3,49,21-B-306,A17112-205,0,B,Burkey,2021,2021_B_Burkey,3317.3,25.75,191.78,493.96,4.75,27.95,5.75,28.32,29.98,41.7,58,A17112-205,74.46,58,A17112,1.0412436,0.537187509,0.798762394,2.596076203,6.672047417,0.1221256,6.311035608,0.354292572,0.062444502,0.212196943,6.495834113,0.402007665,2.475866852,0.549131928,0.04039607,0.02615685,0.272658691,0.201248627,0.332050536,0.354292572,0.211725585,0.105726255,0.04465413,0.394834376,2.434786231,0.131090321,0.040796948,0.373602901,0.472556197,0.489897818,0.096850024,2.791873162,1.140762459,-0.223172963,0.956212611,0.388409812,0.0051082,0.394834376,0.448024586,0.80876595,0.374324415,0.992824911,0.476785771,0.962976912,0.80876595,0.145246887,0.076974882,19.21364,0.927058999,-93.78733912,42.01153959
44,36,21-A-212Y,A18101-99,0,A,Marsden_East,2021,2021_A_Marsden_East,3641.56,29.19,205.26,655.81,5.2,26.01,6.02,30.89,26.02,42.31,58,A18101-99,82,58,A18101,0.989900074,1.621838078,0.7760619,2.856581142,18.51457983,0.20600536,20.15828722,0.541343892,0.076767435,0.558922489,-14.19968048,1.055775833,3.289681239,0.80807577,0.046710329,-0.250665029,0.42018605,0.324180125,0.688920603,0.541343892,0.447794198,-0.212717452,0.048842418,0.674402874,3.733021752,0.189941273,0.052609259,0.703354144,0.678499977,0.667798819,-0.02781183,5.220839367,1.149432787,-0.218504927,0.861144021,0.591566511,-0.00296665,0.674402874,0.674511872,1.540384014,0.225001999,1.770956278,0.297568966,1.74289934,1.540384014,0.160486719,0.099919001,30.053807,0.88029401,-93.78868921,42.01231527
55,45,20-A-308,A17435-61,0,A,Burkey,2020,2020_A_Burkey,3660.556,25.556,193.556,532,4.189,23.889,6.244,27.733,32.211,39.089,58,A17435-61,64.29,58,A17435,0.972764375,0.131507606,0.792945233,3.011865257,4.749159672,0.031026851,6.414551772,0.118885044,0.02401708,0.029928142,11.57650319,0.10931042,1.757071067,0.168285902,0.024642231,0.016206407,0.13578402,0.087170391,0.106704382,0.118885044,0.061696991,0.000254157,0.061989134,0.153512534,1.442485379,0.046820857,0.036689262,0.145269481,0.184925253,0.204466923,0.047687783,1.453762685,1.083191923,-0.211382038,0.902921913,0.135809416,0.019004613,0.153512534,0.171103394,0.999491815,0.709996815,1.009128625,0.78749373,0.997948553,0.999491815,0.064721574,0.033223194,5.09901906,0.94121275,42.04697095,-93.73981688
19,65,20-B-307,A16355-202,0,B,CAD,2020,2020_B_CAD,4037.222,27.889,206.778,420.556,5.033,19.889,6.411,27.478,32.244,41.833,58,A16355-202,59.57,58,A16355,1.111246141,0.118866598,0.850736243,0.834518892,1.55540586,-0.202469,1.947047258,0.085043591,0.163702602,0.099940047,-6.143359974,0.073149261,1.215927176,0.98154888,-0.019824574,-0.022523733,0.213717777,0.093940654,0.085960545,0.085043591,0.056099142,-0.059126731,0.025864808,0.257132887,1.669331188,0.037742827,-0.013189781,0.207806614,0.176712325,0.215195045,-0.101995093,1.429284514,1.288419063,0.561842853,0.933160684,0.38040599,0.1085525,0.257132887,0.20219366,1.125684792,0.781571724,1.059207506,0.843243917,1.061058438,1.125684792,0.413416061,0.218642699,17.97182,0.96111344,-93.78888737,42.01287546
36,55,20-B-308,A16358-141,0,B,CAD,2020,2020_B_CAD,4113.667,25.667,208,440,5.456,24.556,6.911,29.078,22.967,41.156,58,A16358-141,58.01,58,A16358,0.963371405,0.080582723,0.841851151,1.145333764,1.696949302,0.106441,2.139267169,0.12462556,0.038016618,0.032049857,2.500035176,0.061733922,1.297949277,0.24681588,0.021491244,0.059069892,0.120438595,0.106674381,0.081557252,0.12462556,0.038730843,0.07226548,0.034795096,0.132733076,1.473523071,0.085313073,0.03788296,0.119733239,0.180038946,0.222176419,0.115127114,1.439140237,1.081222529,0.268283723,0.932143671,0.172941936,0.0867373,0.132733076,0.181504469,0.865209724,0.657633756,0.922427555,0.778369682,0.896710517,0.865209724,0.101174108,0.049868053,7.01948,0.962893267,42.04614701,-93.7390629
70,116,21-A-315,A18111-154,0,A,Marsden_East,2021,2021_A_Marsden_East,5429.71,31.96,217.47,485.15,6.86,38.06,7.57,28.74,23.01,46.86,58,A18111-154,89.7,58,A18111,0.95025108,0.520934481,0.769152449,3.191140843,7.505903507,0.0907204,8.191157041,0.306993458,0.044385147,0.156262092,11.02669183,0.385157919,2.503937784,0.401812668,0.039458615,-0.003574334,0.233549157,0.185651897,0.324600816,0.306993458,0.206643403,0.022510209,0.046807491,0.349631732,2.11467967,0.111119795,0.042806371,0.353562197,0.401145057,0.425607206,0.055318408,2.339706927,1.102553733,-0.251381734,0.953400083,0.310095089,0.01508345,0.349631732,0.392279508,0.955970692,0.442791018,1.078427982,0.530229541,1.047396815,0.955970692,0.109036686,0.058341888,14.470446,0.959859937,42.04603717,-93.739633
10,35,20-A-301,A17101-216,0,A,Burkey,2020,2020_A_Burkey,1836.556,16,154.778,265.111,2.2,23.889,5.6,25.3,38.067,38.022,59,A17101-216,68.32,59,A17101,0.984200018,0.121535211,0.831081011,2.401052361,3.768970093,0.03174581,4.949978789,0.125319233,0.025637676,0.033358062,3.372734283,0.095534554,1.6298558,0.178773116,0.0331536,0.031117458,0.125329646,0.080271958,0.095824045,0.125319233,0.057286445,0.03481888,0.019226255,0.148192847,1.473864034,0.060390963,0.039534647,0.133474557,0.198805092,0.220282784,0.09108036,1.49627148,1.073322042,-0.14646571,0.948574326,0.142145366,0.01740905,0.148192847,0.197019185,0.932705365,0.673091967,0.972833267,0.777273454,0.951921267,0.932705365,0.068859371,0.034900219,5.42166692,0.945982187,42.01042524,-93.77774288
26,89,21-B-315,A14004-58,3,B,Burkey,2021,2021_B_Burkey,2082.31,15.85,164.42,235.04,3.01,13.7,5.67,23.62,39.47,36.91,59,A14004-58,62.05,59,A14004,0.993450142,0.578313276,0.810583735,4.013885921,10.43512174,0.0924112,9.476138081,0.367169541,0.035503463,0.156161494,5.634795863,0.423652391,3.002721404,0.386663892,0.044681581,0.035779833,0.298560853,0.202943712,0.347137279,0.367169541,0.224299072,0.131352622,0.007967153,0.382021609,2.442832044,0.147861638,0.046976711,0.39243104,0.49326773,0.51425442,0.108510493,2.94685738,1.171221821,-0.317949957,0.98265195,0.332258372,0.0036017,0.382021609,0.475707153,0.767795435,0.357792633,0.964349389,0.462876359,0.952528445,0.767795435,0.084846451,0.044499783,13.362482,1.000953371,42.01453579,-93.78685123
